Genome,Start,Stop,Id,Sample
"gi|971764724|ref|NC_029002.1|",138560,138686,92.06,Sample_49639
"gi|971764724|ref|NC_029002.1|",88030,88156,84.12,Sample_49639
"gi|971764724|ref|NC_029002.1|",85960,86086,98.41,Sample_49639
"gi|971764724|ref|NC_029002.1|",77496,77622,95.23,Sample_49639
"gi|971764724|ref|NC_029002.1|",123501,123627,98.41,Sample_49639
"gi|971764724|ref|NC_029002.1|",102776,102902,85.71,Sample_49639
"gi|971764724|ref|NC_029002.1|",12834,12960,92.8,Sample_49639
"gi|971764724|ref|NC_029002.1|",47641,47767,93.65,Sample_49639
"gi|971764724|ref|NC_029002.1|",6548,6674,97.61,Sample_49639
"gi|971764724|ref|NC_029002.1|",98001,98127,96.82,Sample_49639
"gi|971764724|ref|NC_029002.1|",159730,159856,88.09,Sample_49639
"gi|971764724|ref|NC_029002.1|",97591,97717,88.88,Sample_49639
"gi|971764724|ref|NC_029002.1|",123675,123801,96.82,Sample_49639
"gi|971764724|ref|NC_029002.1|",2172,2298,93.65,Sample_49639
"gi|971764724|ref|NC_029002.1|",90624,90750,98.41,Sample_49639
"gi|971764724|ref|NC_029002.1|",121533,121659,99.2,Sample_49639
"gi|971764724|ref|NC_029002.1|",41333,41459,96.03,Sample_49639
"gi|971764724|ref|NC_029002.1|",105356,105482,97.61,Sample_49639
"gi|971764724|ref|NC_029002.1|",67879,68005,99.16,Sample_49639
"gi|971764724|ref|NC_029002.1|",130995,131121,94.44,Sample_49639
"gi|971764724|ref|NC_029002.1|",163563,163689,97.61,Sample_49639
"gi|971764724|ref|NC_029002.1|",128532,128658,95.23,Sample_49639
"gi|971764724|ref|NC_029002.1|",6805,6931,92.85,Sample_49639
"gi|971764724|ref|NC_029002.1|",90847,90973,96.03,Sample_49639
"gi|971764724|ref|NC_029002.1|",90743,90869,95.23,Sample_49639
"gi|971764724|ref|NC_029002.1|",1392,1518,94.44,Sample_49639
"gi|971764724|ref|NC_029002.1|",159875,160001,92.8,Sample_49639
"gi|971764724|ref|NC_029002.1|",942,1068,98.41,Sample_49639
"gi|971764724|ref|NC_029002.1|",111181,111307,97.61,Sample_49639
"gi|971764724|ref|NC_029002.1|",87876,88002,92.06,Sample_49639
"gi|971764724|ref|NC_029002.1|",148097,148223,92.06,Sample_49639
"gi|971764724|ref|NC_029002.1|",44370,44496,92.85,Sample_49639
"gi|971764724|ref|NC_029002.1|",52736,52862,92.06,Sample_49639
"gi|971764724|ref|NC_029002.1|",163196,163322,93.65,Sample_49639
"gi|971764724|ref|NC_029002.1|",159757,159883,91.26,Sample_49639
"gi|971764724|ref|NC_029002.1|",87772,87898,94.44,Sample_49639
"gi|971764724|ref|NC_029002.1|",102359,102485,92.85,Sample_49639
