Genome,Start,Stop,Id,Sample
"gi|117530171|ref|NC_008562.1|",135077,135203,100,Sample_49639
"gi|117530171|ref|NC_008562.1|",81678,81804,99.2,Sample_49639
"gi|117530171|ref|NC_008562.1|",78800,78926,89.68,Sample_49639
"gi|117530171|ref|NC_008562.1|",68747,68873,97.61,Sample_49639
"gi|117530171|ref|NC_008562.1|",156445,156571,98.41,Sample_49639
"gi|117530171|ref|NC_008562.1|",115360,115486,95.23,Sample_49639
"gi|117530171|ref|NC_008562.1|",97020,97146,98.41,Sample_49639
"gi|117530171|ref|NC_008562.1|",24945,25071,93.65,Sample_49639
"gi|117530171|ref|NC_008562.1|",47135,47261,94.44,Sample_49639
"gi|117530171|ref|NC_008562.1|",6546,6672,96.82,Sample_49639
"gi|117530171|ref|NC_008562.1|",93479,93605,92.85,Sample_49639
"gi|117530171|ref|NC_008562.1|",136272,136398,96.03,Sample_49639
"gi|117530171|ref|NC_008562.1|",89070,89196,96.82,Sample_49639
"gi|117530171|ref|NC_008562.1|",119895,120021,81.74,Sample_49639
"gi|117530171|ref|NC_008562.1|",2169,2295,93.65,Sample_49639
"gi|117530171|ref|NC_008562.1|",81797,81923,96.03,Sample_49639
"gi|117530171|ref|NC_008562.1|",115186,115312,97.61,Sample_49639
"gi|117530171|ref|NC_008562.1|",33060,33186,91.05,Sample_49639
"gi|117530171|ref|NC_008562.1|",102665,102791,90.47,Sample_49639
"gi|117530171|ref|NC_008562.1|",58955,59081,96.82,Sample_49639
"gi|117530171|ref|NC_008562.1|",122680,122806,93.65,Sample_49639
"gi|117530171|ref|NC_008562.1|",156078,156204,92.85,Sample_49639
"gi|117530171|ref|NC_008562.1|",120217,120343,94.44,Sample_49639
"gi|117530171|ref|NC_008562.1|",6803,6929,92.85,Sample_49639
"gi|117530171|ref|NC_008562.1|",88645,88771,89.68,Sample_49639
"gi|117530171|ref|NC_008562.1|",81901,82027,96.82,Sample_49639
"gi|117530171|ref|NC_008562.1|",1389,1515,94.44,Sample_49639
"gi|117530171|ref|NC_008562.1|",152667,152793,89.68,Sample_49639
"gi|117530171|ref|NC_008562.1|",939,1065,98.41,Sample_49639
"gi|117530171|ref|NC_008562.1|",113218,113344,99.2,Sample_49639
"gi|117530171|ref|NC_008562.1|",79084,79210,84.12,Sample_49639
"gi|117530171|ref|NC_008562.1|",136183,136309,97.61,Sample_49639
"gi|117530171|ref|NC_008562.1|",42018,42144,95.23,Sample_49639
"gi|117530171|ref|NC_008562.1|",57629,57755,97.61,Sample_49639
"gi|117530171|ref|NC_008562.1|",152785,152911,92,Sample_49639
"gi|117530171|ref|NC_008562.1|",152640,152766,84.92,Sample_49639
"gi|117530171|ref|NC_008562.1|",78930,79056,92.06,Sample_49639
"gi|117530171|ref|NC_008562.1|",93755,93881,90.47,Sample_49639
"gi|117530171|ref|NC_008562.1|",68550,68676,95.23,Sample_49639
"gi|117530171|ref|NC_008562.1|",2527,2653,95.23,Sample_49639
"gi|117530171|ref|NC_008562.1|",77014,77140,98.41,Sample_49639
"gi|117530171|ref|NC_008562.1|",37140,37266,86.5,Sample_49639
"gi|117530171|ref|NC_008562.1|",2082,2208,92.85,Sample_49639
"gi|117530171|ref|NC_008562.1|",58927,59053,96.82,Sample_49639
"gi|117530171|ref|NC_008562.1|",25024,25150,89.68,Sample_49639
"gi|117530171|ref|NC_008562.1|",93896,94022,85.71,Sample_49639
"gi|117530171|ref|NC_008562.1|",1761,1887,95.23,Sample_49639
"gi|117530171|ref|NC_008562.1|",136054,136180,98.41,Sample_49639
"gi|117530171|ref|NC_008562.1|",102839,102965,96.03,Sample_49639
"gi|117530171|ref|NC_008562.1|",78826,78952,94.44,Sample_49639
"gi|117530171|ref|NC_008562.1|",135940,136066,96.03,Sample_49639
"gi|117530171|ref|NC_008562.1|",47314,47440,92.06,Sample_49639
"gi|117530171|ref|NC_008562.1|",143508,143634,92.06,Sample_49640
"gi|117530171|ref|NC_008562.1|",117697,117823,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",116404,116530,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",157384,157510,99.2,Sample_49640
"gi|117530171|ref|NC_008562.1|",149782,149908,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",121544,121670,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",88539,88665,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",14738,14864,99.2,Sample_49640
"gi|117530171|ref|NC_008562.1|",127703,127829,92.06,Sample_49640
"gi|117530171|ref|NC_008562.1|",133757,133883,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",133595,133721,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",71760,71886,93.49,Sample_49640
"gi|117530171|ref|NC_008562.1|",59370,59496,95.23,Sample_49640
